2021-10-07 10:49:41.334 +06:00 [INF] Application Starting up
2021-10-07 10:49:48.399 +06:00 [INF] Worker running at: "2021-10-07T10:49:48.3902453+06:00"
2021-10-07 11:08:16.864 +06:00 [INF] Application Starting up
2021-10-07 11:08:20.941 +06:00 [INF] Worker running at: "2021-10-07T11:08:20.9336998+06:00"
2021-10-07 11:10:21.302 +06:00 [INF] Worker running at: "2021-10-07T11:10:21.3021408+06:00"
2021-10-07 11:12:21.325 +06:00 [INF] Worker running at: "2021-10-07T11:12:21.3249769+06:00"
2021-10-07 11:14:21.339 +06:00 [INF] Worker running at: "2021-10-07T11:14:21.3396080+06:00"
2021-10-07 11:16:21.347 +06:00 [INF] Worker running at: "2021-10-07T11:16:21.3471451+06:00"
2021-10-07 11:18:21.359 +06:00 [INF] Worker running at: "2021-10-07T11:18:21.3598682+06:00"
2021-10-07 11:20:21.366 +06:00 [INF] Worker running at: "2021-10-07T11:20:21.3662611+06:00"
2021-10-07 11:22:21.683 +06:00 [INF] Worker running at: "2021-10-07T11:22:21.6831864+06:00"
2021-10-07 11:24:21.701 +06:00 [INF] Worker running at: "2021-10-07T11:24:21.7017523+06:00"
2021-10-07 11:26:21.721 +06:00 [INF] Worker running at: "2021-10-07T11:26:21.7212937+06:00"
2021-10-07 11:28:21.728 +06:00 [INF] Worker running at: "2021-10-07T11:28:21.7288910+06:00"
2021-10-07 11:30:21.746 +06:00 [INF] Worker running at: "2021-10-07T11:30:21.7460826+06:00"
2021-10-07 11:32:21.757 +06:00 [INF] Worker running at: "2021-10-07T11:32:21.7570786+06:00"
2021-10-07 11:34:21.767 +06:00 [INF] Worker running at: "2021-10-07T11:34:21.7670608+06:00"
2021-10-07 11:36:21.770 +06:00 [INF] Worker running at: "2021-10-07T11:36:21.7705688+06:00"
2021-10-07 11:38:21.784 +06:00 [INF] Worker running at: "2021-10-07T11:38:21.7844413+06:00"
2021-10-07 11:40:21.813 +06:00 [INF] Worker running at: "2021-10-07T11:40:21.8129486+06:00"
2021-10-07 11:42:21.818 +06:00 [INF] Worker running at: "2021-10-07T11:42:21.8188760+06:00"
2021-10-07 11:44:21.833 +06:00 [INF] Worker running at: "2021-10-07T11:44:21.8330514+06:00"
2021-10-07 11:46:21.854 +06:00 [INF] Worker running at: "2021-10-07T11:46:21.8543098+06:00"
2021-10-07 11:48:21.865 +06:00 [INF] Worker running at: "2021-10-07T11:48:21.8654686+06:00"
2021-10-07 11:50:21.878 +06:00 [INF] Worker running at: "2021-10-07T11:50:21.8781094+06:00"
2021-10-07 11:52:21.889 +06:00 [INF] Worker running at: "2021-10-07T11:52:21.8892779+06:00"
2021-10-07 11:54:21.893 +06:00 [INF] Worker running at: "2021-10-07T11:54:21.8930385+06:00"
2021-10-07 11:56:21.899 +06:00 [INF] Worker running at: "2021-10-07T11:56:21.8996835+06:00"
2021-10-07 11:58:21.909 +06:00 [INF] Worker running at: "2021-10-07T11:58:21.9096513+06:00"
2021-10-07 12:00:21.925 +06:00 [INF] Worker running at: "2021-10-07T12:00:21.9255526+06:00"
2021-10-07 12:02:21.936 +06:00 [INF] Worker running at: "2021-10-07T12:02:21.9365000+06:00"
2021-10-07 12:04:21.943 +06:00 [INF] Worker running at: "2021-10-07T12:04:21.9429918+06:00"
2021-10-07 12:06:21.959 +06:00 [INF] Worker running at: "2021-10-07T12:06:21.9591148+06:00"
2021-10-07 12:08:21.973 +06:00 [INF] Worker running at: "2021-10-07T12:08:21.9734674+06:00"
2021-10-07 12:10:21.994 +06:00 [INF] Worker running at: "2021-10-07T12:10:21.9947471+06:00"
2021-10-07 12:12:21.999 +06:00 [INF] Worker running at: "2021-10-07T12:12:21.9990431+06:00"
2021-10-07 12:14:22.009 +06:00 [INF] Worker running at: "2021-10-07T12:14:22.0089770+06:00"
2021-10-07 12:16:22.014 +06:00 [INF] Worker running at: "2021-10-07T12:16:22.0148910+06:00"
2021-10-07 12:22:39.313 +06:00 [INF] Worker running at: "2021-10-07T12:22:39.3129476+06:00"
2021-10-07 12:24:39.323 +06:00 [INF] Worker running at: "2021-10-07T12:24:39.3238853+06:00"
2021-10-07 12:26:39.335 +06:00 [INF] Worker running at: "2021-10-07T12:26:39.3352753+06:00"
2021-10-07 12:28:39.351 +06:00 [INF] Worker running at: "2021-10-07T12:28:39.3513358+06:00"
2021-10-07 12:30:39.362 +06:00 [INF] Worker running at: "2021-10-07T12:30:39.3628435+06:00"
2021-10-07 12:32:39.372 +06:00 [INF] Worker running at: "2021-10-07T12:32:39.3726191+06:00"
2021-10-07 12:34:39.385 +06:00 [INF] Worker running at: "2021-10-07T12:34:39.3850788+06:00"
2021-10-07 12:36:39.395 +06:00 [INF] Worker running at: "2021-10-07T12:36:39.3950463+06:00"
2021-10-07 12:38:39.397 +06:00 [INF] Worker running at: "2021-10-07T12:38:39.3973030+06:00"
2021-10-07 12:40:39.418 +06:00 [INF] Worker running at: "2021-10-07T12:40:39.4179831+06:00"
2021-10-07 12:42:39.426 +06:00 [INF] Worker running at: "2021-10-07T12:42:39.4259880+06:00"
2021-10-07 12:44:39.444 +06:00 [INF] Worker running at: "2021-10-07T12:44:39.4448853+06:00"
2021-10-07 12:46:39.450 +06:00 [INF] Worker running at: "2021-10-07T12:46:39.4500245+06:00"
2021-10-07 12:48:39.449 +06:00 [INF] Worker running at: "2021-10-07T12:48:39.4494268+06:00"
2021-10-07 12:49:50.751 +06:00 [INF] Application Starting up
2021-10-07 12:49:53.320 +06:00 [INF] Worker running at: "2021-10-07T12:49:53.3112083+06:00"
2021-10-07 12:51:53.339 +06:00 [INF] Worker running at: "2021-10-07T12:51:53.3389558+06:00"
2021-10-07 12:53:53.345 +06:00 [INF] Worker running at: "2021-10-07T12:53:53.3457297+06:00"
2021-10-07 12:55:55.355 +06:00 [INF] Worker running at: "2021-10-07T12:55:55.3550889+06:00"
2021-10-07 12:57:55.371 +06:00 [INF] Worker running at: "2021-10-07T12:57:55.3710127+06:00"
2021-10-07 12:59:55.385 +06:00 [INF] Worker running at: "2021-10-07T12:59:55.3856119+06:00"
2021-10-07 13:01:55.397 +06:00 [INF] Worker running at: "2021-10-07T13:01:55.3974360+06:00"
2021-10-07 13:03:55.405 +06:00 [INF] Worker running at: "2021-10-07T13:03:55.4055768+06:00"
2021-10-07 13:05:55.420 +06:00 [INF] Worker running at: "2021-10-07T13:05:55.4205661+06:00"
2021-10-07 13:07:55.425 +06:00 [INF] Worker running at: "2021-10-07T13:07:55.4250070+06:00"
2021-10-07 13:09:55.773 +06:00 [INF] Worker running at: "2021-10-07T13:09:55.7736677+06:00"
2021-10-07 13:11:55.779 +06:00 [INF] Worker running at: "2021-10-07T13:11:55.7794830+06:00"
2021-10-07 13:13:55.811 +06:00 [INF] Worker running at: "2021-10-07T13:13:55.8118496+06:00"
2021-10-07 13:15:55.856 +06:00 [INF] Worker running at: "2021-10-07T13:15:55.8561824+06:00"
2021-10-07 13:17:55.869 +06:00 [INF] Worker running at: "2021-10-07T13:17:55.8694312+06:00"
2021-10-07 13:19:55.887 +06:00 [INF] Worker running at: "2021-10-07T13:19:55.8870386+06:00"
2021-10-07 13:21:55.892 +06:00 [INF] Worker running at: "2021-10-07T13:21:55.8917703+06:00"
2021-10-07 13:23:55.896 +06:00 [INF] Worker running at: "2021-10-07T13:23:55.8964826+06:00"
2021-10-07 13:25:55.923 +06:00 [INF] Worker running at: "2021-10-07T13:25:55.9237632+06:00"
2021-10-07 13:27:55.925 +06:00 [INF] Worker running at: "2021-10-07T13:27:55.9249659+06:00"
2021-10-07 13:29:55.938 +06:00 [INF] Worker running at: "2021-10-07T13:29:55.9379222+06:00"
2021-10-07 13:31:55.940 +06:00 [INF] Worker running at: "2021-10-07T13:31:55.9409174+06:00"
2021-10-07 13:33:55.955 +06:00 [INF] Worker running at: "2021-10-07T13:33:55.9551851+06:00"
2021-10-07 13:35:55.964 +06:00 [INF] Worker running at: "2021-10-07T13:35:55.9641952+06:00"
2021-10-07 13:37:55.972 +06:00 [INF] Worker running at: "2021-10-07T13:37:55.9727706+06:00"
2021-10-07 17:20:45.651 +06:00 [INF] Application Starting up
2021-10-07 17:20:47.628 +06:00 [INF] Worker running at: "2021-10-07T17:20:47.6232988+06:00"
2021-10-07 17:22:47.660 +06:00 [INF] Worker running at: "2021-10-07T17:22:47.6603160+06:00"
2021-10-07 17:24:47.670 +06:00 [INF] Worker running at: "2021-10-07T17:24:47.6703253+06:00"
2021-10-07 17:26:47.677 +06:00 [INF] Worker running at: "2021-10-07T17:26:47.6771699+06:00"
2021-10-07 17:28:47.687 +06:00 [INF] Worker running at: "2021-10-07T17:28:47.6871928+06:00"
2021-10-07 17:30:47.693 +06:00 [INF] Worker running at: "2021-10-07T17:30:47.6936148+06:00"
2021-10-07 17:32:47.710 +06:00 [INF] Worker running at: "2021-10-07T17:32:47.7101987+06:00"
2021-10-07 17:34:47.726 +06:00 [INF] Worker running at: "2021-10-07T17:34:47.7262698+06:00"
2021-10-07 17:36:47.735 +06:00 [INF] Worker running at: "2021-10-07T17:36:47.7355382+06:00"
2021-10-07 17:38:47.750 +06:00 [INF] Worker running at: "2021-10-07T17:38:47.7501064+06:00"
2021-10-07 17:40:47.762 +06:00 [INF] Worker running at: "2021-10-07T17:40:47.7619821+06:00"
2021-10-07 17:42:48.059 +06:00 [INF] Worker running at: "2021-10-07T17:42:48.0596977+06:00"
2021-10-07 17:44:48.066 +06:00 [INF] Worker running at: "2021-10-07T17:44:48.0665747+06:00"
2021-10-07 17:46:48.090 +06:00 [INF] Worker running at: "2021-10-07T17:46:48.0900700+06:00"
2021-10-07 17:48:48.124 +06:00 [INF] Worker running at: "2021-10-07T17:48:48.1245215+06:00"
2021-10-07 17:50:48.147 +06:00 [INF] Worker running at: "2021-10-07T17:50:48.1436074+06:00"
2021-10-07 17:52:48.172 +06:00 [INF] Worker running at: "2021-10-07T17:52:48.1710082+06:00"
2021-10-07 17:54:48.188 +06:00 [INF] Worker running at: "2021-10-07T17:54:48.1879152+06:00"
2021-10-07 17:56:48.203 +06:00 [INF] Worker running at: "2021-10-07T17:56:48.2038160+06:00"
2021-10-07 17:58:48.220 +06:00 [INF] Worker running at: "2021-10-07T17:58:48.2207353+06:00"
2021-10-07 18:00:48.225 +06:00 [INF] Worker running at: "2021-10-07T18:00:48.2258896+06:00"
2021-10-07 18:02:48.227 +06:00 [INF] Worker running at: "2021-10-07T18:02:48.2273374+06:00"
2021-10-07 18:04:48.243 +06:00 [INF] Worker running at: "2021-10-07T18:04:48.2435606+06:00"
2021-10-07 18:06:48.259 +06:00 [INF] Worker running at: "2021-10-07T18:06:48.2598192+06:00"
2021-10-07 18:08:48.270 +06:00 [INF] Worker running at: "2021-10-07T18:08:48.2707355+06:00"
2021-10-07 18:10:48.284 +06:00 [INF] Worker running at: "2021-10-07T18:10:48.2846220+06:00"
2021-10-07 18:12:48.294 +06:00 [INF] Worker running at: "2021-10-07T18:12:48.2948592+06:00"
2021-10-07 18:14:52.585 +06:00 [INF] Worker running at: "2021-10-07T18:14:52.5854053+06:00"
2021-10-07 18:16:52.591 +06:00 [INF] Worker running at: "2021-10-07T18:16:52.5913201+06:00"
2021-10-07 18:18:52.606 +06:00 [INF] Worker running at: "2021-10-07T18:18:52.6064778+06:00"
2021-10-07 18:20:52.621 +06:00 [INF] Worker running at: "2021-10-07T18:20:52.6209362+06:00"
2021-10-07 18:22:52.633 +06:00 [INF] Worker running at: "2021-10-07T18:22:52.6332777+06:00"
2021-10-07 18:24:52.648 +06:00 [INF] Worker running at: "2021-10-07T18:24:52.6488378+06:00"
2021-10-07 18:26:52.664 +06:00 [INF] Worker running at: "2021-10-07T18:26:52.6639773+06:00"
2021-10-07 18:28:52.679 +06:00 [INF] Worker running at: "2021-10-07T18:28:52.6796574+06:00"
2021-10-07 18:30:52.691 +06:00 [INF] Worker running at: "2021-10-07T18:30:52.6918630+06:00"
2021-10-07 18:32:52.702 +06:00 [INF] Worker running at: "2021-10-07T18:32:52.7025405+06:00"
2021-10-07 18:34:52.717 +06:00 [INF] Worker running at: "2021-10-07T18:34:52.7170544+06:00"
2021-10-07 18:36:52.728 +06:00 [INF] Worker running at: "2021-10-07T18:36:52.7287440+06:00"
2021-10-07 18:38:52.734 +06:00 [INF] Worker running at: "2021-10-07T18:38:52.7344658+06:00"
2021-10-07 18:40:52.739 +06:00 [INF] Worker running at: "2021-10-07T18:40:52.7394900+06:00"
2021-10-07 18:42:52.757 +06:00 [INF] Worker running at: "2021-10-07T18:42:52.7572512+06:00"
2021-10-07 18:44:52.787 +06:00 [INF] Worker running at: "2021-10-07T18:44:52.7872663+06:00"
2021-10-07 18:46:52.793 +06:00 [INF] Worker running at: "2021-10-07T18:46:52.7938656+06:00"
2021-10-07 18:48:52.809 +06:00 [INF] Worker running at: "2021-10-07T18:48:52.8095117+06:00"
2021-10-07 18:50:52.825 +06:00 [INF] Worker running at: "2021-10-07T18:50:52.8255457+06:00"
2021-10-07 18:52:52.826 +06:00 [INF] Worker running at: "2021-10-07T18:52:52.8261415+06:00"
2021-10-07 18:54:52.825 +06:00 [INF] Worker running at: "2021-10-07T18:54:52.8255868+06:00"
2021-10-07 18:56:52.829 +06:00 [INF] Worker running at: "2021-10-07T18:56:52.8291932+06:00"
2021-10-07 18:58:52.833 +06:00 [INF] Worker running at: "2021-10-07T18:58:52.8335008+06:00"
2021-10-07 19:00:52.855 +06:00 [INF] Worker running at: "2021-10-07T19:00:52.8554487+06:00"
2021-10-07 19:02:52.873 +06:00 [INF] Worker running at: "2021-10-07T19:02:52.8734880+06:00"
2021-10-07 19:04:52.884 +06:00 [INF] Worker running at: "2021-10-07T19:04:52.8847287+06:00"
2021-10-07 19:06:52.896 +06:00 [INF] Worker running at: "2021-10-07T19:06:52.8968930+06:00"
2021-10-07 19:08:52.901 +06:00 [INF] Worker running at: "2021-10-07T19:08:52.9014011+06:00"
2021-10-07 19:10:52.911 +06:00 [INF] Worker running at: "2021-10-07T19:10:52.9117943+06:00"
2021-10-07 19:12:52.921 +06:00 [INF] Worker running at: "2021-10-07T19:12:52.9213142+06:00"
2021-10-07 19:14:52.931 +06:00 [INF] Worker running at: "2021-10-07T19:14:52.9315932+06:00"
2021-10-07 19:16:52.949 +06:00 [INF] Worker running at: "2021-10-07T19:16:52.9492414+06:00"
